Country_State,Site,Component,Name_Nearest_City, Count_Building_Owned , Building_Owned_SqFt , Count_Bldgs_Leased ,Bldgs_Leased_SqFt, Count_Bldgs_Other , Bldgs_Other_SqFt , Acres_Owned , Total_Acres ,Plant_Replacement_Value_M,Latitude,Longitude,Lat_Long_Sources
New Jersey,AEGIS MOORESTOWN,Navy Active,Moorestown,3,"143,783",0,0,0,0,0.00,13.84,$147.82,39.97598073,-74.9165057,US_Base_Project_BSR-FY24_Lat-Long
New Jersey,ATLANTIC CITY INTERNATIONAL AIRPORT,Air National Guard,Egg Harbor Township,42,"459,837",0,0,1,"3,000",0.00,306.74,$664.74,39.45708535,-74.57027649,US_Base_Project_BSR-FY24_Lat-Long
New Jersey,Caven Point ARC,Army Reserve,Jersey City,6,"75,370",0,0,0,0,75.00,78.94,$91.96,40.69363665,-74.07940635,US_Base_Project_BSR-FY24_Lat-Long
New Jersey,DIX,Air Force Active,Joint Base Dix/mcguire/lakehur,667,"5,710,209",0,0,191,"734,997","31,659.83","31,660.66","$8,998.40",40.0301105,-74.6201691,US_Base_Project_BSR-FY24_Lat-Long
New Jersey,FORT DIX FAMILY HOUSING SITE GARDEN TERRACE,Air Force Active,Joint Base Dix/mcguire/lakehur,0,0,0,0,222,"1,221,962",36.81,36.81,$496.87,40.0339164,-74.32307389,US_Base_Project_BSR-FY24_Lat-Long
New Jersey,Fort Monmouth Main Post,Army Active,Red Bank,10,"52,477",0,0,0,0,867.98,877.62,$34.15,40.3118633,-74.04508,US_Base_Project_BSR-FY24_Lat-Long
New Jersey,Gloucester Township AFRC,Army Reserve,Blackwood,3,"61,441",0,0,0,0,12.20,12.20,$55.35,39.7838425,-75.0707641,US_Base_Project_BSR-FY24_Lat-Long
New Jersey,LAKEHURST,Air Force Active,Joint Base  Dix/mcguire/lakehu,206,"3,286,077",0,0,37,"106,694","7,402.59","7,434.12","$4,705.44",40.02538308,-74.31725624,US_Base_Project_BSR-FY24_Lat-Long
New Jersey,MCGUIRE,Air Force Active,Joint Base Dix/mcguire/lakehur,253,"5,227,466",0,0,441,"2,895,373","2,003.82","2,060.72","$7,489.68",40.0171621,-74.59020488,US_Base_Project_BSR-FY24_Lat-Long
New Jersey,NAVAL WEAPONS STATION EARLE NJ,Navy Active,Colts Neck,355,"1,654,470",0,0,63,"195,413","11,146.00","11,146.00","$2,383.62",40.4451942,-74.05590138,US_Base_Project_BSR-FY24_Lat-Long
New Jersey,Picatinny Arsenal,Army Active,Dover,531,"3,439,631",0,0,79,"255,271","6,583.09","7,222.81","$4,451.40",40.95033045,-74.54921647,US_Base_Project_BSR-FY24_Lat-Long
New Jersey,PINEHURST ESTATES,Air Force Active,Joint Base  Dix/mcguire/lakehu,0,0,0,0,28,"149,004",24.23,24.23,$76.05,40.0155824,-74.3297611,US_Base_Project_BSR-FY24_Lat-Long
New Jersey,USAF EXPEDITIONARY CENTER,Air Force Active,Joint Base Dix/mcguire/lakehur,12,"291,827",0,0,0,0,27.15,27.15,$260.14,40.01583,-74.6,DeepSeek
New Jersey,WARREN GROVE RANGE,Air National Guard,Warren Grove,5,"9,560",0,0,0,0,"9,416.00","9,599.58",$26.32,39.70020785,-74.4351499,US_Base_Project_BSR-FY24_Lat-Long
New Jersey,WATERFRONT,Navy Active,Colts Neck,37,"227,728",0,0,0,0,705.00,705.00,$934.69,40.2485746,-74.18365541,US_Base_Project_BSR-FY24_Lat-Long
