LOCATION,DUTY_STATE_COUNTRY,ARMY_AD,NAVY_AD,MARINE_CORPS_AD,AIR_FORCE_AD,SPACE_FORCE_AD,COAST_GUARD_AD,ARMY_NATIONAL_GUARD,ARMY_RESERVE,NAVY_RESERVE,MARINE_CORPS_RESERVE,AIR_NATIONAL_GUARD,AIR_FORCE_RESERVE,COAST_GUARD_RESERVE,ARMY_DOD_CIVILIAN,NAVY_DOD_CIVILIAN,MARINE_CORPS_DOD_CIVILIAN,AIR_FORCE_DOD_CIVILIAN,FOURTH_ESTATE_DOD_CIVILIAN
OVERSEAS,ECUADOR,4,3,11,3,0,1,0,0,0,0,1,0,0,3,0,0,0,0
OVERSEAS,EGYPT,138,8,20,20,0,0,0,1,0,0,0,0,0,2,1,0,4,0
OVERSEAS,EL SALVADOR,10,35,10,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1
OVERSEAS,ESTONIA,8,2,8,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OVERSEAS,ETHIOPIA,6,2,8,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
OVERSEAS,FIJI,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
OVERSEAS,FINLAND,4,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OVERSEAS,FRANCE,27,17,17,20,1,0,0,2,0,0,0,0,0,1,3,0,6,0
OVERSEAS,GABON,1,1,7,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0
OVERSEAS,"GAMBIA, THE",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,GEORGIA,16,0,6,2,0,0,0,2,0,0,0,0,0,5,0,0,1,2
OVERSEAS,GERMANY,"22,727",435,424,"12,628",212,10,0,"1,104",19,0,9,354,0,"4,886",31,33,"1,175","5,291"
OVERSEAS,GHANA,4,3,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OVERSEAS,GIBRALTAR,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,GREECE,12,385,7,27,1,0,0,0,0,0,0,0,0,7,69,0,0,2
OVERSEAS,GREENLAND,0,0,0,110,23,0,0,0,0,0,0,2,0,1,0,0,1,0
OVERSEAS,GUAM,0,"4,096",215,"2,402",1,372,67,25,209,0,429,230,36,180,"1,526",9,505,818
OVERSEAS,GUATEMALA,10,1,8,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0
OVERSEAS,GUINEA,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,GUYANA,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,HAITI,4,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,HONDURAS,196,2,7,123,0,1,0,1,0,0,0,0,0,17,1,0,0,1
OVERSEAS,HONG KONG,2,3,7,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0
OVERSEAS,HUNGARY,8,4,7,58,0,0,0,0,0,0,0,0,0,3,0,0,1,1
OVERSEAS,ICELAND,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OVERSEAS,INDIA,9,9,37,5,0,0,0,1,0,0,0,0,0,0,0,0,1,1
OVERSEAS,INDONESIA,12,6,9,3,0,0,0,1,0,0,1,0,0,1,2,0,0,1
OVERSEAS,IRELAND,2,0,7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
OVERSEAS,ISRAEL,67,6,25,12,0,0,0,0,0,0,0,0,0,3,1,0,3,7
OVERSEAS,ITALY,"4,140","3,585",62,"4,846",28,1,0,61,21,0,1,15,0,629,858,1,150,967
OVERSEAS,JAMAICA,2,1,7,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
OVERSEAS,JAPAN,"2,490","21,236","17,972","12,446",121,23,0,138,231,0,2,105,0,667,"1,514",678,756,"3,305"
OVERSEAS,JORDAN,67,2,12,11,0,0,0,1,0,0,0,0,0,11,0,0,2,1
OVERSEAS,KAZAKHSTAN,9,1,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,KENYA,16,4,15,5,0,0,0,0,0,0,0,0,0,1,0,0,1,1
OVERSEAS,KIRIBATI,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
OVERSEAS,"KOREA, SOUTH","15,216",366,177,"7,656",79,1,0,242,2,0,0,56,0,"1,347",43,11,191,"1,335"
OVERSEAS,KOSOVO,1,0,8,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0
OVERSEAS,KUWAIT,499,2,9,23,0,0,0,0,0,0,0,0,0,137,0,0,6,19
OVERSEAS,KYRGYZSTAN,3,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,LAOS,4,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OVERSEAS,LATVIA,7,1,7,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0
OVERSEAS,LEBANON,5,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,LIBERIA,3,0,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OVERSEAS,LITHUANIA,5,1,8,5,0,0,0,0,0,0,0,0,0,1,1,0,2,1
OVERSEAS,LUXEMBOURG,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
OVERSEAS,MACEDONIA,4,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,MADAGASCAR,0,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OVERSEAS,MALAWI,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,MALAYSIA,3,5,9,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
OVERSEAS,MALI,2,0,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OVERSEAS,MALTA,0,3,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,MARSHALL ISLANDS,14,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0
OVERSEAS,MAURITANIA,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,MAURITIUS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,MEXICO,15,4,59,4,0,3,0,1,0,0,0,0,0,0,1,0,11,1
OVERSEAS,"MICRONESIA, FEDERATED STATES OF",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,MOLDOVA,3,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OVERSEAS,MONGOLIA,5,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,MONTENEGRO,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,MOROCCO,8,4,14,7,0,1,0,0,0,0,0,0,0,3,1,0,1,1
OVERSEAS,MOZAMBIQUE,4,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,NAMIBIA,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,NEPAL,4,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OVERSEAS,NETHERLANDS,117,29,13,220,2,33,0,1,0,0,0,0,0,70,0,0,2,141
OVERSEAS,NETHERLANDS ANTILLES,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
OVERSEAS,NEW ZEALAND,4,2,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
OVERSEAS,NICARAGUA,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,NIGER,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,NIGERIA,3,3,26,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1
OVERSEAS,NORTHERN MARIANA ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0
OVERSEAS,NORWAY,18,13,13,40,2,1,0,0,0,0,0,1,0,2,3,0,3,0
OVERSEAS,OMAN,6,5,10,4,0,0,0,0,0,0,1,0,0,0,1,0,1,1
OVERSEAS,PAKISTAN,5,3,48,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OVERSEAS,PALAU,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,PANAMA,14,4,6,0,0,1,0,1,0,0,0,0,0,5,1,0,1,0
OVERSEAS,PAPUA NEW GUINEA,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,PARAGUAY,5,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
OVERSEAS,PERU,8,18,12,4,0,0,0,1,0,0,1,0,0,4,3,0,0,0
OVERSEAS,PHILIPPINES,12,12,10,10,0,5,0,0,0,0,1,0,0,1,9,0,3,1
OVERSEAS,POLAND,232,97,11,29,0,0,0,1,1,0,0,1,0,133,10,0,4,2
OVERSEAS,PORTUGAL,5,47,16,168,0,1,0,0,1,0,0,0,0,2,4,0,3,0
OVERSEAS,PUERTO RICO,0,40,11,25,1,586,0,799,310,0,"1,058",0,67,"1,136",31,0,144,602
OVERSEAS,QATAR,101,6,6,111,15,0,0,0,0,0,0,0,0,16,0,0,5,4
OVERSEAS,ROMANIA,31,102,10,10,0,0,0,0,0,0,0,0,0,41,7,0,1,1
OVERSEAS,RUSSIA,4,3,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,RWANDA,3,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OVERSEAS,SAMOA,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
OVERSEAS,SAUDI ARABIA,159,20,22,68,0,0,0,0,0,0,0,0,0,70,3,0,7,10
OVERSEAS,SENEGAL,7,5,9,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
OVERSEAS,SERBIA,4,0,6,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0
OVERSEAS,SIERRA LEONE,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,SINGAPORE,18,205,12,26,0,10,0,0,0,0,0,0,0,2,162,0,1,18
OVERSEAS,SLOVAKIA,4,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,SLOVENIA,1,0,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OVERSEAS,SOMALIA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,SOUTH AFRICA,3,5,33,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1
OVERSEAS,SOUTH SUDAN,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,SPAIN,29,"3,352",36,395,1,1,0,0,19,0,0,1,0,1,281,0,11,204
OVERSEAS,SRI LANKA,4,3,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
OVERSEAS,SURINAME,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,SWAZILAND,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,SWEDEN,3,1,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,SWITZERLAND,1,1,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,TAIWAN,24,2,12,5,0,1,0,0,0,0,0,0,0,1,0,0,0,4
OVERSEAS,TAJIKISTAN,4,0,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OVERSEAS,TANZANIA,7,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OVERSEAS,THAILAND,36,12,51,19,0,0,0,1,0,0,0,0,0,3,5,0,2,7
OVERSEAS,TIMOR-LESTE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OVERSEAS,TOGO,1,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OVERSEAS,TRINIDAD AND TOBAGO,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,TUNISIA,11,3,11,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0
OVERSEAS,TURKEY,106,6,30,"1,519",0,0,0,0,0,0,0,1,0,5,0,0,22,39
